Time,Ticker,Price
2025-09-08T23:53:50+03:00,BTC,111995
2025-09-08T23:53:57+03:00,ETH,4296.96
2025-09-11T01:07:50+03:00,ETH,4352.52
2025-09-11T01:08:56+03:00,BTC,113907.3
2025-09-11T01:11:23+03:00,BTC,113922.6
2025-09-11T01:13:24+03:00,BTC,113896.5
2025-09-11T14:55:59+03:00,BTC,113979.5
2025-09-11T14:58:47+03:00,ETH,4430.61
2025-09-11T14:58:50+03:00,BTC,113971.3
2025-09-11T15:26:53+03:00,ETH,4462.24
2025-09-11T15:27:27+03:00,BTC,114250.2
2025-09-11T15:29:27+03:00,ETH,4468.51
2025-09-11T15:31:03+03:00,ETH,4391.98
2025-09-11T15:31:46+03:00,ETH,4422.24
2025-09-11T16:46:53+03:00,TON,3.174
2025-09-11T16:49:25+03:00,ETH,4403.63
2025-09-11T16:49:46+03:00,TON,3.175
